year,zone,weapon,propertyType,dateOpened,dateClosed,sex,Link,Notes
2021,B,Gun-Dog,Private,11/21/2020,1/15/2021,Either,,
2021,B,Gun-Dog,Public,11/21/2020,12/11/2020,Antlered,,
2021,B,Gun-Dog,Public,12/12/2020,1/1/2021,Either,,
2021,B,Gun-Dog,Public,1/2/2021,1/15/2021,Antlered,,
2021,C,Archery,Both,10/15/2020,2/10/2021,Either,,
2021,C,Muzzleloader,Both,11/16/2020,11/20/2020,Either,,
2021,C,Gun,Private,11/21/2020,11/29/2020,Either,,
2021,C,Gun,Private,11/20/2020,12/18/2020,Antlered,,
2021,C,Gun,Private,12/19/2020,1/1/2021,Either,,
2021,C,Gun,Private,1/2/2021,2/10/2021,Antlered,,
2021,C,Gun,Public,11/21/2020,12/18/2020,Antlered,,
2021,C,Gun,Public,12/19/2020,1/1/2021,Either,,
2021,C,Gun,Public,1/2/2021,2/10/2021,Antlered,,
2021,C,Gun-Dog,Private,11/21/2020,11/29/2020,Either,,
2021,C,Gun-Dog,Private,11/30/2020,12/19/2020,Antlered,,
2021,C,Gun-Dog,Private,12/20/2020,1/1/2021,Either,,
2021,C,Gun-Dog,Private,1/2/2021,1/15/2021,Antlered,,
2021,C,Gun-Dog,Public,11/21/2020,12/18/2020,Antlered,,
2021,C,Gun-Dog,Public,12/19/2020,1/1/2021,Either,,
2021,C,Gun-Dog,Public,1/2/2021,1/15/2021,Antlered,,
2021,D,Archery,Both,10/1/2020,1/15/2021,Either,,
2021,D,Archery,Both,1/16/2021,1/27/2021,Antlered,,
2021,D,Muzzleloader,Both,11/2/2020,11/6/2020,Either,,
2021,D,Gun,Private,11/7/2020,11/20/2020,Antlered,,
2021,D,Gun,Private,11/21/2020,11/29/2020,Either,,
2021,D,Gun,Private,11/30/2020,12/18/2020,Antlered,,
2021,D,Gun,Private,12/19/2020,1/1/2021,Either,,
2021,D,Gun,Private,1/2/2021,1/27/2021,Antlered,,
2021,D,Gun,Public,11/7/2020,12/18/2020,Antlered,,
2021,D,Gun,Public,12/19/2020,1/1/2021,Either,,
2021,D,Gun,Public,1/2/2021,1/27/2021,Antlered,,
2021,D,Gun-Dog,Private,11/7/2020,11/20/2020,Antlered,,
2021,D,Gun-Dog,Private,11/21/2020,11/29/2020,Either,,
2021,D,Gun-Dog,Private,11/30/2020,12/18/2020,Antlered,,
2021,D,Gun-Dog,Private,12/19/2020,1/1/2021,Either,,
2021,D,Gun-Dog,Public,11/7/2020,12/18/2020,Antlered,,
2021,D,Gun-Dog,Public,12/19/2020,1/1/2021,Either,,
2021,E,Archery,Both,10/1/2020,1/15/2021,Either,,
2021,E,Archery,Both,1/16/2021,1/27/2021,Antlered,,
2021,E,Muzzleloader,Both,11/2/2020,11/6/2020,Either,,
2021,E,Gun,Private,11/7/2020,1/15/2021,Either,,
2021,E,Gun,Private,1/16/2021,1/27/2021,Antlered,,
2021,E,Gun,Public,11/7/2020,12/18/2020,Antlered,,
2021,E,Gun,Public,12/19/2020,1/1/2021,Either,,
2021,E,Gun,Public,1/2/2021,1/27/2021,Antlered,,
2021,E,Gun-Dog,Private,11/7/2020,1/1/2021,Either,,
2021,E,Gun-Dog,Public,11/7/2020,12/18/2020,Antlered,,
2021,E,Gun-Dog,Public,12/19/2020,1/1/2021,Either,,
2020,A,Archery,,,,,,
